nom,auteur,editeur,nb_joueurs,age_min,duree,type_jeu,notice,themes,description,image,logo
Chipe Cocos,Alexandre Droit,Djeco,2 à 4 joueurs,8 ans,30 mn,Enfants,https://www.dropbox.com/s/bxk18dhs8ij0907/chipe_cocos.pdf?dl=0,"Nature, Animaux","Tapies dans la canopée, des bandes de singes se disputent les noix de coco. Quelle sera la bande la mieux organisée qui en récoltera le plus, tout en évinçant les singes rivaux avant l’arrivée du tigre ?  Chipe Cocos est un jeu de déplacement très simple où la stratégie et l'anticipation sont primordiales.",https://cdn1.philibertnet.com/554362-large_default/chipe-cocos.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Pirates Island,Antoine Rabreau,Goula,2 à 4 joueurs,3 ans,30 mn,Enfants,https://www.dropbox.com/s/pi1z9wm3oh4z2qa/pirate_island.pdf?dl=0,Pirates,Pirate Island est un jeu de parcours et de collecte sur le thème des pirates pour les enfants dès 5 ans.,https://cdn3.philibertnet.com/556068-large_default/pirate-island.jpg,https://www.lesjouetsenbois.com/images/logo.png
Jungle Panic,Flavien Dauphin,Djeco,2 à 4 joueurs,6 ans,30 mn,Enfants,https://www.play-in.com/pdf/rules_games/jungle_panic_regles_fr.pdf,"Nature, Animaux","Jungle Panic est un jeu de pose, d’observation et de rapidité, pour 2 à 4 joueurs dès 6 ans. C'est la panique dans la jungle, aidez les animaux à retrouver le calme en créant des espaces dédiés à chaque espèce.",https://cdn2.philibertnet.com/548905-large_default/jungle-panic.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Tapikékoi,"Romaric Galonnier, Laurent Toulouse",Djeco,2 à 4 joueurs,5 ans,15 mn,Enfants,https://www.berceaumagique.com/support/pdf/6559/[djeco]_regles_du_jeu_tapikekoi.pdf,Vie quotidienne,"Tapikékoi de Djeco est un jeu éducatif sur les différences qui fait travailler la mémoire et le sens de l'observation des enfants. De retour à la maison, vous vous apercevez qu'un voleur a dérobé vos affaires. Saurez-vous découvrir ce qu'il manque ?",https://cdn1.philibertnet.com/480818-large_default/tapikekoi.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Constellations,Fabien Chevillon,Djeco,2 à 4 joueurs,8 ans,30 mn,Enfants,https://assets6.keepeek.com/pm_10541_1248_1248673-190ikvcybc.PDF,Espace,"Constellations est un jeu d'observation, de repérage dans l'espace et de rapidité.",https://cdn2.philibertnet.com/561823-large_default/constellations.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Pentanimo,Sébastien Decad,Djeco,1 joueur,8 ans,30 mn,Tout public,https://media-library.djeco.com/t-janqmibvjr,Animaux,"Pentanimo comprend un cadre en bois permettant de bien caler les pièces, ainsi que 30 cartes de défis avec des positions de départs imposés. À vous de poser chaque pièce au bon endroit pour reproduire la figure dessinée sur le modèle. Quel animal manque à l’appel? Le jeu comprend 4 niveaux de difficulté pour progresser en douceur : de la simple reproduction à la déduction des pièces-animaux manquantes. Un jeu de casse-tête avec des animaux rigolos et attrayants adaptés à la tranche d'âge. Concentration, logique et patience seront nécessaires pour réaliser les défis.",https://cdn1.philibertnet.com/552196-large_default/pentamino.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Cubissimo,Alain Brobecker,Djeco,1 joueur,7 ans,30 mn,Enfants,https://www.djeco.com/data/rules/DJ08477_FR.pdf,Cubes,"Cubissimo est un jeu de réflexion et de patience dans lequel le joueur prend plaisir manipuler des pièces en 3D afin de reconstituer un cube parfait. Avec ses 30 cartes de défis, vous aurez matière à réfléchir.",https://cdn1.philibertnet.com/458016-large_default/cubissimo.jpg,https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png
Pagan: Le Destin de Roanoke,"Kåre Storgaard, Kasper Kjær Christiansen",Super Meeple,2 joueurs,14 ans,60 mn,Experts,https://www.supermeeple.com/wp-content/uploads/2015/02/PAGAN_r%C3%A8gles_jeu_de_base.pdf,Aventure,"L'essence de ce jeu asymétrique est la lutte de la sorcière contre le chasseur de sorcières. Alors que la sorcière s'efforce d'accomplir un rituel, le chasseur tente de la retrouver et de découvrir sa véritable identité. Les deux joueurs ont accès à des decks variables de 50 cartes chacun et utilisent différentes ressources pour vaincre l'autre camp. De nombreuses tactiques et stratégies sont possibles et nécessaires pour survivre dans ce combat entre les deux puissances. Les graphiques sombres de l'illustratrice Maren Gutt donnent vie à l'histoire fictive de la colonie perdue de Roanoke.",https://cdn2.philibertnet.com/548779-large_default/pagan-le-destin-de-roanoke.jpg,http://www.supermeeple.com/wp-content/uploads/2015/02/logo-supermeeple-margin-top1.png
Doggerland,"Laurent Guilbert, Jérôme Daniel Snowrchoff",Super Meeple,1 à 4 joueurs,14 ans,120 mn,Experts,https://feaxog.db.files.1drv.com/y4mvohY0fXTSnrJ2uNotKBMNlfXKOd7J3hey78QlMpe_2joqRPcu7ytiRIzVvlD0Q0utqBe90u4Xdsr1KFL1MBEuH_gWJeCLcNwG6VptwhenZ_cK7cn21drMyO_WgNeIjMrWP7oNNtTUJg0oUePyT85qd68MNe4hsYx2QuWPkyHdwAapmhTEukD-ILWTuAWgaZT_oKFaaZ4tv-Rcggl44kjNg,Préhistoire,"Doggerland est un jeu de programmation d’actions et de développement par mécanisme de pose d’ouvriers lors de la préhistoire sur un paysage variable à chaque partie et dans lequel vous devrez développer votre clan pour laisser une trace de votre existence ! Votre but est de survivre et vous développer face aux rigueurs des saisons grâce aux ressources découvertes lors de vos expériences et les outils que vous allez fabriquer. Hélas, les ressources récoltées vont s’épuiser et votre village sera amené à migrer vers des contrées plus propices. ",https://www.le-passe-temps.com/35993-medium_default/doggerland.jpg,http://www.supermeeple.com/wp-content/uploads/2015/02/logo-supermeeple-margin-top1.png
Expéditions,Wolfgang Kramer,Super Meeple,1 à 6 joueurs,8 ans,60 mn,Tout public,,Expeditions,"Découvrez des lieux insolites et inexplorés, de nouvelles cultures, de nouveaux animaux exotiques et des paysages somptueux ! Trois expéditions différentes partent d’Europe du Nord mais chaque joueur participe à toutes les expéditions et essaye d’influencer leur progression de manière à atteindre ses objectifs et marquer des points de victoire. Un jeu interactif, fun et même instructif (apprenez des choses curieuses sur chaque destination) ! Pour tout public !",https://www.festivaldesjeux-cannes.com/media/2023/01/835d413f-fa94-4453-b06e-016c63f6da09.png,http://www.supermeeple.com/wp-content/uploads/2015/02/logo-supermeeple-margin-top1.png
Caldera Park,"Michael Kiesling, Wolfgang Kramer",Super Meeple,1 à 4 joueurs,10 ans,60 mn,Initiés,https://www.youtube.com/watch?v=Y_chNd_9LDs&embeds_euri=https%3A%2F%2Fwww.philibertnet.com%2F&feature=emb_logo,Animaux,"Votre tâche consiste à regrouper les animaux de la même espèce dans des familles aussi grandes que possible. Mais les grandes familles ne sont que la moitié de la bataille : pour marquer beaucoup de points, elles doivent aussi avoir accès à des points d'eau et éviter le mauvais temps.",https://cdn3.philibertnet.com/570009-large_default/caldera-park.jpg,http://www.supermeeple.com/wp-content/uploads/2015/02/logo-supermeeple-margin-top1.png
Astra,"Frigyes Schőberl, Eszter Krisztina Sas, Patrik Porkoláb",Super Meeple,2 à 5 joueurs,10 ans,60 mn,Initiés,https://feaxog.db.files.1drv.com/y4marOwr2_4HhjfbOO-3z25lQ30CgI4HLGkyuVNFHGDM_TP7C7oi7mdqr4S9QbJoHB8jcyYnE4MYZhrQjNgJJ-KKmPjYP3GEQXqLuD3Kkb-fDx7wCQz740VyRM916aCeQCqy_IcE_wXZYcZpa5fqOk22MdAaKkCpugIEUoTo0j_m2r4aAJMn0Sk4i5QaZxPLjJjs2XaixXyIz95wV-NW_9cpw,Espace,"Loin au-dessus de vos têtes, de nombreuses constellations vous attendent parmi la voûte céleste. Repérez une majorité d’étoiles pour bénéficier de bonus uniques, ou essayez de découvrir des constellations inconnues pour récupérer leur pouvoir !",https://cdn3.philibertnet.com/566913-large_default/astra.jpg,http://www.supermeeple.com/wp-content/uploads/2015/02/logo-supermeeple-margin-top1.png
Paradice,Sergio Ortiz Ruiz,Zacatrus,2 à 4 joueurs,8 ans,60 mn,Tout public,https://www.youtube.com/watch?v=e4Is-UWsj04&embeds_euri=https%3A%2F%2Fwww.philibertnet.com%2F&feature=emb_logo,Loisirs,"Paradice, de Sergio Ortiz, est un jeu de fête foraine aussi familial que compétitif ! Vous devez compléter vos cartes stands avec les bons dés (que vous choisirez au distributeur ou obtiendrez à la roue de la fortune). Optimisez vos chances, choisissez vos objectifs et tentez de remporter les bonus de majorités, utilisez vos pouvoirs au bon moment, anticipez la fin de partie, gagnez des pochettes surprises ... Serez-vous le « Master of Paradice » ?",https://cdn2.philibertnet.com/560949-large_default/paradice.jpg,https://static.zacatrus.com/version1678636716/frontend/zaca/z2023/fr_FR/images/logo.svg
Lovecraft,Silvestre Pastor,Zacatrus,1 à 2 joueurs,14 ans,45 mn,Experts,https://www.youtube.com/watch?v=SXrWGcQ686c,"Univers H.P. Lovecraft, Aventure",Aventure Z Lovecraft est un jeu narratif pour une ou deux personnes rentrant dans la peau d'enquêteurs des années 20 en charge de résoudre une affaire.,https://cdn1.philibertnet.com/568900-large_default/aventure-z-vol1-lovecraft.jpg,https://static.zacatrus.com/version1678636716/frontend/zaca/z2023/fr_FR/images/logo.svg
Smart 10,"Christoph Reiser, Arno Steinwender",Puzzle Michèle Wilson - PMWD ,2 à 8 joueurs,14 ans,30 mn,Tout public,https://cdn.1j1ju.com/medias/e1/36/f1-smart-10-regle.pdf,Vie Quotidienne,"Smart 10 est un jeu de quiz où chaque question à 10 réponses possibles, à vous de trouver la bonne ! Dans ce jeu nomade, tout est inclus dans le boîtier. Pour gagner, il vous faudra un peu de connaissances et une bonne auto-évaluation.",https://cdn1.philibertnet.com/553119-large_default/smart-10.jpg,https://puzzlemichelewilson.com/cms-cache/FR-LOGO.png
Pentago,Tomas Flodén,Mindtwister,2 joueurs,8 ans,30 mn,Tout public,http://www.ludovalais.ch/img_docjeux/Pentago.pdf,Abstrait,"Pentago est un jeu de stratégie unique et rapide, à la fois simple et sophistiqué. Le but du jeu est d'aligner 5 billes de sa couleur n'importe où sur le plateau.",https://cdn1.philibertnet.com/549316-large_default/pentago-mecanic.jpg,https://cf.geekdo-images.com/T8wqToUv4K6oWRWEnqiq8g__itemrep/img/Af5QqGnevFqtNPXx6Q_HtU1puRM=/fit-in/246x300/filters:strip_icc()/pic1050905.jpg
Happy Bee,Maxime Rambourg et Théo Rivière,Helvetiq,3 à 6 joueurs,8 ans,15 mn,Tout public,http://vitrine-wilsonjeux.fr/?_l=&_p=documents&barcode=99227&dl=316,"Nature, Abeilles, Fleurs, Pollen","Dans Happy Bee, vous jouez des cartes abeilles et passez les autres à vos adversaires. Votre but : polliniser le plus grand nombre de fleurs. Choisissez bien les cartes abeilles que vous souhaitez jouer pour remporter la majorité et ainsi récupérer des fleurs. Mais prenez garde, vous n’êtes pas le ou la seul·e à vouloir récupérer les fleurs qui rapportent le plus de points de victoire.",https://www.espritjeu.com/upload/image/happy-bee-p-image-84867-grande.jpg,
Fun Facts,Kasper Lapp,Repos Prod,4 à 8 joueurs,8 ans,30 mn,Ambiance,https://cdn.svc.asmodee.net/production-rprod/storage/downloads/games/fun-facts/ff-fr01-rules-1661781993er05J.pdf,Vie Quotidienne,"Ce jeu d’ambiance simple et amusant vous promet des fous rires et des anecdotes insolites sur vos proches... et sur vous-même ! C’est également le jeu idéal pour apprendre à se connaitre dans une atmosphère bienveillante, en famille comme entre amis.",https://cdn3.philibertnet.com/552222-large_default/fun-facts.jpg,https://www.rprod.com/images/logo-repos.png
Fun Facts,Kasper Lapp,Repos Prod,4 à 8 joueurs,8 ans,30 mn,Ambiance,https://cdn.svc.asmodee.net/production-rprod/storage/downloads/games/fun-facts/ff-fr01-rules-1661781993er05J.pdf,Vie Quotidienne,"Ce jeu d’ambiance simple et amusant vous promet des fous rires et des anecdotes insolites sur vos proches... et sur vous-même ! C’est également le jeu idéal pour apprendre à se connaitre dans une atmosphère bienveillante, en famille comme entre amis.",https://cdn3.philibertnet.com/552222-large_default/fun-facts.jpg,https://www.rprod.com/images/logo-repos.png
7 Wonders (ext. Edifice),Antoine Bauza,Repos Prod,3 à 7 joueurs,10 ans,30 mn,Initiés,https://cdn.svc.asmodee.net/production-rprod/storage/downloads/games/7wonders-edifice/Rules/7ed-fr02-rules-1674569978na6Bv.pdf,Antiquité,"Dans 7 Wonders Nouvelle Edition - Edifice, la nouvelle extension de 7 Wonders, les joueurs vont devoir relever ensemble un défi : bâtir de majestueux édifices. Ils en tireront les bénéfices à sa construction ou en subiront les préjudices en cas d’échec. Edifices est idéal pour bien débuter les extensions de 7 Wonders. Une extension facile à prendre en main pour augmenter son expérience de jeu sans rajouter du temps de partie. Plus d’interaction entre les joueurs avec la construction d’édifices communs. Des figurines pour représenter les trois âges du jeu. Deux nouvelles merveilles : Ur et Carthage. (Nécessite le jeu de base pour être joué.)",https://cdn1.philibertnet.com/568132-large_default/7-wonders-nouvelle-edition-edifice.jpg,https://www.rprod.com/images/logo-repos.png
Heat,"Daniel Skjold Pedersen, Asger Harding Granerud",Days of Wonder,1 à 6 joueurs,10 ans,45 mn,Tout public,https://ncdn1.daysofwonder.com/heat/fr/img/ht_rules_FR.pdf,Course de Voiture,Heat est un jeu de course basé sur une gestion de main de cartes simple et intuitive qui vous place dans le siège d'un pilote des courses automobiles des années 1960. À vous de garder votre moteur suffisamment froid pour remporter le Grand Prix.,https://cdn1.philibertnet.com/548640-large_default/heat.jpg,https://ncdn1.daysofwonder.com/fr/img/boardgames_logo.png
Heat,"Daniel Skjold Pedersen, Asger Harding Granerud",Days of Wonder,1 à 6 joueurs,10 ans,45 mn,Tout public,https://ncdn1.daysofwonder.com/heat/fr/img/ht_rules_FR.pdf,Course de Voiture,Heat est un jeu de course basé sur une gestion de main de cartes simple et intuitive qui vous place dans le siège d'un pilote des courses automobiles des années 1960. À vous de garder votre moteur suffisamment froid pour remporter le Grand Prix.,https://cdn1.philibertnet.com/548640-large_default/heat.jpg,https://ncdn1.daysofwonder.com/fr/img/boardgames_logo.png
Splendor Duel,"Bruno Cathala, Marc André",Space Cowboy,2 joueurs,10 ans,45 mn,Tout public,https://www.spacecowboys.fr/_files/ugd/59baa2_23baf559d4aa46b1a51739667ef3800f.pdf,Renaissance,"Découvrez de nouveaux rebondissements et des opportunités stratégiques dérivés de Splendor, le jeu original à succès. Acquérez des cartes aux pouvoirs impressionnants, profitez de privilèges spéciaux et battez-vous pour l'accès limité aux perles. Splendor Duel est un jeu indépendant à deux joueurs basé sur Splendor qui conserve certains des principaux mécanismes de jeu de ce dernier, tout en étant un peu plus complexe, dynamique, interactif, riche, tendu et méchant. Le jeu comporte un plateau principal partagé par les deux adversaires, des pouvoirs de cartes et trois conditions de victoire.",https://cdn1.philibertnet.com/551503-large_default/splendor-duel.jpg,https://cf.geekdo-images.com/ZyCgVPxUdzSg4dUx5cCzVw__itemrep/img/buWc8E5B89nx-iiKoKscBEfhziE=/fit-in/246x300/filters:strip_icc()/pic2617614.png
Dixit,Jean-Louis Roubira,Libellud,3 à 8 joueurs,8 ans,30 mn,Tout public,https://cdn.1j1ju.com/medias/c0/fc/0f-dixit-regle.pdf,Imagination,"Dixit, un jeu de communication. Le principe de Dixit est simple : les joueurs doivent deviner et faire deviner des cartes illustrées. À chaque tour, un joueur devient le conteur qui choisit une carte et la décrit avec une phase, un mot ou un son. Mais attention, pour marquer des points, la carte doit être trouvée seulement par une partie des joueurs. Le message doit donc être à la fois clair et crypté. Un certain mystère doit planer. À vous d'être inventif et malin ! ",https://www.libellud.com/wp-content/uploads/2021/12/caroussel-boite-dixit-mobile-1.png,https://www.libellud.com/wp-content/uploads/2021/11/logo_libellud.png.webp
Stella - Dixit Universe,"Jean-Louis Roubira, Gérald Cattiaux",Libellud,3 à 6 joueurs,8 ans,30 mn,Tout public,https://www.libellud.com/wp-content/uploads/2022/03/STELLA_RULES_FR_LD.pdf,Onirique,"Stella est un jeu compétitif d’interprétation d’images qui explore une nouvelle approche de l’univers Dixit. À partir d’un mot, trouvez des associations entre ce dernier et des cartes Dixit révélées aux yeux de tous. Pour marquer des points, choisissez les mêmes images que vos adversaires : plus vous en avez, mieux c’est. Il vous faudra prendre des risques pour l’emporter, mais ne tentez pas de monter trop haut dans les étoiles car plus lourde sera la chute ! À la fin du quatrième tour, le joueur avec le plus de points est désigné vainqueur. Prenez des risques calculés, mais attention à la chute !. ",https://www.libellud.com/wp-content/uploads/2022/03/STELLA_box_R_FR_72dpi.png,https://www.libellud.com/wp-content/uploads/2021/11/logo_libellud.png.webp
Biotopes,Sébastien Castano,Palladis Games,1 à 5 joueurs,12 ans,60 mn,Initiés,https://parisparisdesign.fr/wp-content/uploads/2023/02/Biotopes-Regles-02-2023.pdf,"Environnement, animaux","Dans Biotopes, vous devrez développer votre écosystème afin qu'il soit le plus vivant possible. Colonisez le paysage central, attirez des espèce animales et faites grossir leurs populations. Mais pour y parvenir, vous devrez aussi vous battre pour conserver votre espace vital. ",https://www.le-passe-temps.com/36054-medium_default/biotopes.jpg,https://www.palladisgames.fr/wp-content/uploads/2022/06/palladis.png
Fauna,Friedemann Friese,Atalia,2 à 6 joueurs,10 ans,60 mn,Tout public,https://cdn.1j1ju.com/medias/54/77/11-fauna-regle.pdf,"Animaux sauvages,  Géographie","Saviez-vous qu'une girafe peut atteindre plus de 5 mètres de haut ? Que le Caïman Yacare ne pèse qu'environ 60 kg ? Et combien mesure la queue de l'ours polaire ? Voici le type de questions auxquelles il vous faudra répondre dans Fauna. Peur de ne pas tout savoir sur les 360 ​​animaux présents dans le jeu ? Pas d'inquiétude : même en restant approximatif, vous pouvez gagner des points. Par contre, pas sûr que vous remportiez la partie, si vous jouez chaque manche au bluff !",https://www.atalia-jeux.com/2840-large_default/fauna.jpg,https://www.atalia-jeux.com/img/atalia-jeux-logo-1489513199.jpg
Duos,"Niklas Gestrin, Markus Tangring",Granna,2 à 6 joueurs,8 ans,30 mn,Tout public,https://www.youtube.com/watch?v=ZkgD2KJ1pnM,"Association d'idées, Images",Un jeu d'association d'idées avec des images. Pas de plastique !,https://www.atalia-jeux.com/img/cms/2023-01%20nvt%C3%A9s/duos.png,https://cdn.1j1ju.com/thumbs/logo-lg-webp/medias/88/b2/23-logo-granna.webp
Aetherya,François Bachelart,Nostromo Editions,1 à 4 joueurs,10 ans,30 mn,Tout public,https://nostromo-editions.com/wp-content/uploads/2022/08/Regles-Aetherya-FR-2.0.pdf,"Fantastique, Médiéval","Dans Aetherya, chaque joueur va explorer des contrées inconnues, édifier un royaume peuplé de créatures et de paysages divers. Il s’efforcera d’agencer au mieux les éléments de son royaume afin d’obtenir l’accord parfait et marquer le plus de « points d’harmonie » possible.",https://nostromo-editions.com/wp-content/uploads/2021/04/Cover.jpg,https://i0.wp.com/nostromo-editions.com/wp-content/uploads/2021/04/Logo-generique-noir.png?fit=3000%2C1000&ssl=1
East India Companies,Pascal Ribrault,Atalia,2 à 4 joueurs,12 ans,90 mn,Initiés,https://www.atalia-jeux.com/jeux-de-strategie-confirmes/666-eic-east-india-companies-0745178316996.html,Marché des épices,Dans East India Companies essayez de faire fortune sur le marché des épices avec votre compagnie maritime européenne au XIXe siècle.,https://www.atalia-jeux.com/2938-large_default/eic-east-india-companies.jpg,https://www.atalia-jeux.com/img/atalia-jeux-logo-1489513199.jpg
OùCéDonc en France ?,"Bernhard Lach, Uwe Rapp",Atalia,2 à 6 joueurs,10 ans,30 mn,Tout public,https://www.atalia-jeux.com/index.php?controller=attachment&id_attachment=292,Géographie,"Où peut bien se situer Évreux ? À l'est ou à l'ouest de Foix ? Et la Dune du Pilat, au nord ou au sud ? Si vous connaissez bien la carte de France, vous n'aurez aucune difficulté à placer les lieux les uns par rapport aux autres. Sinon, voilà une façon amusante de découvrir la France ! Oucédonc mélange connaissances, bluff et prise de risque. Si personne ne se rend compte que vous vous êtes trompé, rien n'est perdu !",https://www.atalia-jeux.com/2504-large_default/oucedonc-en-france.jpg,https://www.atalia-jeux.com/img/atalia-jeux-logo-1489513199.jpg
OùCéDonc en Europe ?,"Bernhard Lach, Uwe Rapp",Atalia,2 à 6 joueurs,10 ans,30 mn,Tout public,https://www.youtube.com/watch?v=ao8CrfByZ74,Géographie,"Dans Oùcédonc, vous devrez classer les cartes Lieu selon leur position géographique, sur un axe nord-sud ou est-ouest. Les joueurs gagnent des jetons en se trompant le moins souvent et en décelant les erreurs commises par leurs adversaires.",https://www.atalia-jeux.com/2864-large_default/ouc%C3%A9donc-en-europe.jpg,https://www.atalia-jeux.com/img/atalia-jeux-logo-1489513199.jpg
Ensemble,"Luigi Ferrini, Daniele Ursini",Atalia,2 à 10 joueurs,14 ans,30 mn,Ambiance,https://cdn.1j1ju.com/medias/9e/ae/a0-ensemble-regle.pdf,Vote,"Dans Ensemble, tous les joueurs doivent voter - sans communiquer - pour l'une des cartes exposées qui, selon eux, correspond le mieux à une carte placée au centre de la table. Coopérez pour atteindre votre objectif: le niveau 9.",https://www.atalia-jeux.com/2839-large_default/ensemble.jpg,https://www.atalia-jeux.com/img/atalia-jeux-logo-1489513199.jpg
Overbooking,Filippo Landini,Huch & Friends !,2 à 4 joueurs,10 ans,30 mn,Tout public,https://www.atalia-jeux.com/index.php?controller=attachment&id_attachment=296,Fête,"Essayez de trouver une chambre d’hôtel pour un maximum de vos invités. Pour cela, vous devrez planifier habilement les cartes que vous voulez placer directement dans la file d’attente (pour qu’elles puissent réserver une chambre) et celles que vous placez à la porte de derrière (pour en activer les pouvoirs spéciaux : changer la capacité d'accueil de l'hôtel, modifier l'ordre dans la file d'attente...). S’il y a trop de clients, l’hôtel est surbooké et il n’y a plus de place !",https://www.atalia-jeux.com/2823-large_default/overbooking.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/HUCH_Logo_blau_RZ_17_300dpi.jpg/250px-HUCH_Logo_blau_RZ_17_300dpi.jpg
Shogun No Katana,"P.S. Martensen, Federico Randazzo",Placentia Games,1 à 4 joueurs,14 ans,90 mn,Experts,https://www.atalia-jeux.com/index.php?controller=attachment&id_attachment=294,"Japon, Shogun","Shogun no Katana est un jeu de gestion stratégique dans l'atmosphère fascinante du Japon féodal. Le cœur du jeu est ce travail à la forge. Les épées en préparation doivent passer par plusieurs ateliers (travail du métal, du cuir, du bois et/ou laquage) successifs, selon ce qu'indique la tuile Katana. Ces ateliers sont répartis dans une grille dont on active une rangée ou une colonne entière pour travailler sur différents Katanas en même temps. À chaque activation, il faut avoir en stock la ressource nécessaire, puis bouger la tuile Katana jusqu'au prochain atelier. Mais attention ! Si avoir beaucoup de Katanas sur la grille permet d'activer plusieurs ateliers en une seule action, cela augmente aussi le risque qu'ils se gênent les uns les autres et ne progressent pas avec fluidité d'une étape à l'autre. Il faut donc soigneusement planifier chaque étape pour optimiser chacun de ses tours",https://www.atalia-jeux.com/2548-large_default/shogun-no-katana.jpg,https://postscriptum-games.it/wp-content/uploads/2019/05/PostScriptum-Placentia-300x192.jpg
Federation,"Dimitri Perrier, Matthieu Verdier",Explor8,2 à 4 joueurs,14 ans,120 mn,Experts,https://cdn.1j1ju.com/medias/d7/e6/86-federation-regle.pdf,"Science Fiction, Politique","L'univers est organisé en de nombreuses fédérations qui commercent, intriguent, se développent... L'une de ces fédérations, qui n'est pas encore totalement développée (5 planètes membres pour l'instant) souhaite qu'une nouvelle délégation la rejoigne, mais vous n'êtes pas le seul à avoir des vues sur la fédération. La Fédération vous met au défi de prouver votre valeur pendant 5 ans. Pendant ces 5 années, vous devrez développer des stratégies, déployer des tactiques, saisir les meilleures opportunités mais aussi former les bonnes alliances au bon moment... Au final, une seule délégation sera choisie : celle qui aura le plus de prestige !",https://explor8.com/wp-content/uploads/2021/08/Kickstarter_Couv.png,https://explor8.com/wp-content/uploads/2020/03/LOGO_EXPLOR8.png
Federation,"Dimitri Perrier, Matthieu Verdier",Explor8,2 à 4 joueurs,14 ans,120 mn,Experts,https://cdn.1j1ju.com/medias/d7/e6/86-federation-regle.pdf,"Science Fiction, Politique","L'univers est organisé en de nombreuses fédérations qui commercent, intriguent, se développent... L'une de ces fédérations, qui n'est pas encore totalement développée (5 planètes membres pour l'instant) souhaite qu'une nouvelle délégation la rejoigne, mais vous n'êtes pas le seul à avoir des vues sur la fédération. La Fédération vous met au défi de prouver votre valeur pendant 5 ans. Pendant ces 5 années, vous devrez développer des stratégies, déployer des tactiques, saisir les meilleures opportunités mais aussi former les bonnes alliances au bon moment... Au final, une seule délégation sera choisie : celle qui aura le plus de prestige !",https://explor8.com/wp-content/uploads/2021/08/Kickstarter_Couv.png,https://explor8.com/wp-content/uploads/2020/03/LOGO_EXPLOR8.png
Colorado,Joachim Thôme,Sylex Edition,2 à 4 joueurs,12 ans,40 mn,Tout public,https://cdn.1j1ju.com/medias/ad/ea/ae-colorado-rulebook.pdf,Far-west,"Vous Explorez l'Ouest américain avec un feutre et des carte pour tout équipement. Appelez les bonnes cartes et faites les meilleurs enchainements, équipez vos personnages avec leur outil et leur moyen de transport préféré pour vous ouvrir les portes d nouvelles régions et ainsi garantir le succès de vos expéditions !",https://i0.wp.com/sylex-edition.fr/wp-content/uploads/2022/12/Colorado.png?resize=300%2C300&ssl=1,https://i0.wp.com/sylex-edition.fr/wp-content/uploads/2022/12/Sylex-Colorado.png?fit=300%2C234&ssl=1
Colorado,Joachim Thôme,Sylex Edition,2 à 4 joueurs,12 ans,40 mn,Tout public,https://cdn.1j1ju.com/medias/ad/ea/ae-colorado-rulebook.pdf,Far-west,"Vous Explorez l'Ouest américain avec un feutre et des carte pour tout équipement. Appelez les bonnes cartes et faites les meilleurs enchainements, équipez vos personnages avec leur outil et leur moyen de transport préféré pour vous ouvrir les portes d nouvelles régions et ainsi garantir le succès de vos expéditions !",https://i0.wp.com/sylex-edition.fr/wp-content/uploads/2022/12/Colorado.png?resize=300%2C300&ssl=1,https://i0.wp.com/sylex-edition.fr/wp-content/uploads/2022/12/Sylex-Colorado.png?fit=300%2C234&ssl=1
Akropolis,Jules Messaud,Gigamic,2 à 4 joueurs,8 ans,30 mn,Tout public,https://cdn.1j1ju.com/medias/58/eb/a4-akropolis-regle.pdf,Antiquité,"Akropolis est un jeu de stratégie simple avec des éléments en 3D, où vous devrez gagner du prestige en construisant les meilleures cités au cœur de l'antique Méditerranée.",https://cdn2.philibertnet.com/571750-large_default/akropolis.jpg,https://www.gigamic.com/images/logo.png
La Colline aux Feux Follets,"Bernhard Weber, Jens-Peter Schliemann",Gigamic,1 à 4 joueurs,5 ans,25 mn,Tout public,https://cdn.1j1ju.com/medias/db/61/c6-la-colline-aux-feux-follets-regle.pdf,"Nature, Magie","Dans La Colline aux Feux Follets, il faudra arriver en bas de la colline avant les sorcières en vous laissant guider par les feux follets: faites glisser vos billes de façon à ce qu'elles touchent les apprentis et leur montrent le chemin.",https://cdn2.philibertnet.com/545216-large_default/la-colline-aux-feux-follets.jpg,https://www.gigamic.com/images/logo.png
